10-05-2021 19:06:33 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:33 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:34 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:34 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-29.html HTTP/1.1" 200 None
10-05-2021 19:06:34 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:34 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:34 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:34 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:35 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-30.html HTTP/1.1" 200 None
10-05-2021 19:06:35 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:35 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:35 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:35 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:35 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-31.html HTTP/1.1" 200 None
10-05-2021 19:06:35 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:35 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:35 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:35 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:36 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-32.html HTTP/1.1" 200 None
10-05-2021 19:06:36 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:36 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:36 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:36 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:36 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-33.html HTTP/1.1" 200 None
10-05-2021 19:06:36 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:36 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:36 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:36 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:37 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-34.html HTTP/1.1" 200 None
10-05-2021 19:06:37 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:37 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:37 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:37 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:37 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-35.html HTTP/1.1" 200 None
10-05-2021 19:06:38 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:38 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:38 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:38 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:38 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-36.html HTTP/1.1" 200 None
10-05-2021 19:06:38 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:38 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:38 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:38 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:39 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-37.html HTTP/1.1" 200 None
10-05-2021 19:06:39 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:39 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:39 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:39 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:39 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-38.html HTTP/1.1" 200 None
10-05-2021 19:06:39 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:39 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:39 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:39 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:40 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-39.html HTTP/1.1" 200 None
10-05-2021 19:06:40 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:40 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:40 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:40 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:40 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-40.html HTTP/1.1" 200 None
10-05-2021 19:06:40 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:40 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:40 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
